--- Screen Size Extraction Results ---
[OK] ScreenMiiStomachForDemoBG | Size: 0x3F0 | Inline Wrapper: 71020e5764
[OK] ScreenMiiTouch | Size: 0x350 | Inline Wrapper: 7100a7b7dc
[OK] ScreenMiiTouchMenu | Size: 0x4A0 | Inline Wrapper: 7100a7bbc0
[OK] ScreenMiiTouchProfileCard | Size: 0x640 | Constructor: 710094c59c
[OK] ScreenMiiTouchSpray | Size: 0x360 | Inline Wrapper: 7100a7be44
[OK] ScreenMiniGameBowling | Size: 0x350 | Inline Wrapper: 71020e9974
[OK] ScreenMiniGameCafeLatte | Size: 0x348 | Inline Wrapper: 71020ea04c
[OK] ScreenMiniGameDaruma | Size: 0x350 | Inline Wrapper: 71020ea868
[OK] ScreenMiniGameFader | Size: 0x388 | Inline Wrapper: 7100a7c018
[OK] ScreenMiniGameFall | Size: 0x350 | Inline Wrapper: 71020eb0a8
[OK] ScreenMiniGameFindDifferences | Size: 0x358 | Inline Wrapper: 71020eb83c
[OK] ScreenMiniGamePictQuiz | Size: 0xF80 | Constructor: 71020ede3c
[OK] ScreenMiniGamePrizeBox | Size: 0x348 | Inline Wrapper: 7100a7c1d8
[OK] ScreenMiniGameSwapCup | Size: 0x350 | Inline Wrapper: 71020ee95c
[OK] ScreenMoneyBottom | Size: 0x358 | Inline Wrapper: 7100a7c2b8
[OK] ScreenOptionEntrance | Size: 0x348 | Inline Wrapper: 7100a7c3fc
[OK] ScreenOptionSetting | Size: 0x3C0 | Constructor: 71008c9e68
[OK] ScreenPetitPersonalityEdit | Size: 0x1688 | Constructor: 710090a4e4
[OK] ScreenPhotoStudio | Size: 0x2CC6A8 | Constructor: 71020f6860
[OK] ScreenPhotoStudioContent | Size: 0x2C94E0
[OK] ScreenPhotoStudioMiiList | Size: 0xAE0 | Constructor: 710210957c
[OK] ScreenPhraseEditNew | Size: 0x1550 | Constructor: 710094dba4
[OK] ScreenPlayerBirthdayED | Size: 0x3A0 | Inline Wrapper: 710210e430
[OK] ScreenPlayerSetting | Size: 0x398 | Inline Wrapper: 7100a7d37c
[OK] ScreenPlayerSkinEdit | Size: 0x350 | Inline Wrapper: 7100a7d518
[OK] ScreenPointing | Size: 0x4B8 | Constructor: 71008ef8e8
[OK] ScreenPresetTextEntry | Size: 0x880 | Constructor: 71008e5620
[OK] ScreenProposalShooter | Size: 0x4F0 | Constructor: 7102116ca8
[OK] ScreenRelationDiagram | Size: 0x3B8 | Inline Wrapper: 710211930c
[OK] ScreenRelationGraphFocusSingle | Size: 0x2478 | Constructor: 710090d870
[OK] ScreenRelationGraphMulti | Size: 0x6B0 | Constructor: 71008f069c
[OK] ScreenRelationNameEdit | Size: 0x40D0 | Constructor: 7100913a70
[OK] ScreenRelationshipsRanking | Size: 0x14F0 | Inline Wrapper: 710095b938
[OK] ScreenResidentList | Size: 0x1118 | Constructor: 71009026d8
[OK] ScreenRocketSwitch | Size: 0x348 | Inline Wrapper: 710212f328
[OK] ScreenRoomSelect | Size: 0x3F8 | Inline Wrapper: 7100a7efa4
[OK] ScreenSceneFader | Size: 0x428 | Constructor: 71008f482c
[OK] ScreenSettingDialog | Size: 0x400 | Constructor: 71008e6670
[OK] ScreenShopCartNum | Size: 0x358 | Inline Wrapper: 71021318f4
[OK] ScreenShopConfirm | Size: 0x378 | Inline Wrapper: 7100a7f67c
[OK] ScreenShopFade | Size: 0x358 | Inline Wrapper: 7100a7f7a8
[OK] FOUND_NO_SCREEN_NAME | Size: 0x4D0 | Constructor: 710089710c
[ERR] FOUND_NO_SCREEN_NAME | VTable: 710326d2c0 | FOUND NOTHING WITH MANUAL CHECK
[OK] FOUND_NO_SCREEN_NAME | Size: 0x9D10 | Constructor: 71020a963c
[OK] ScreenStaffRoll | Size: 0x2E98 | Constructor: 710214374c
[OK] ScreenTalkChoice | Size: 0x350 | Constructor: 7100a7fc7c
[OK] ScreenTalkChoiceFocus | Size: 0x350 | Inline Wrapper: 7100a7fccc
[OK] ScreenTalkGauge | Size: 0x470 | Constructor: 71008ee648
[OK] ScreenTelopBottom | Size: 0x3F0 | Constructor: 710094f878
[OK] ScreenTitle | Size: 0xFD8 | Constructor: 71008a8884
[OK] ScreenTravelCameraFrame | Size: 0x348 | Inline Wrapper: 7102146690
[OK] ScreenTravelMiiSelect | Size: 0x7E0 | Constructor: 7100a8093c
[OK] ScreenTravelPhotoResult | Size: 0x440 | Constructor: 7102147de4
[OK] ScreenTravelStart | Size: 0x3CE0 | Constructor: 71008dac98
[OK] ScreenTutorialHighlight | Size: 0x398 | Inline Wrapper: 7100a80ab8
[OK] ScreenUgcTextList | Size: 0x4D40 | Constructor: 710093826c
[OK] ScreenWordEditTop | Size: 0x368 | Inline Wrapper: 7100a81acc
[OK] Viewer | Size: 0x538 | Constructor: 710076e8c4
[OK] MiniGame_Change | Size: 0x538 | Constructor: 710076e8c4
